title,media_type,collection,wikipedia_link
The Big Bang Theory,TV Series,,https://en.wikipedia.org/wiki/The_Big_Bang_Theory
The Fresh Prince of Bel-Air,TV Series,,https://en.wikipedia.org/wiki/The_Fresh_Prince_of_Bel-Air
Mr. Bean,TV Series,,https://en.wikipedia.org/wiki/Mr._Bean
The Inbetweeners,TV Series,,https://en.wikipedia.org/wiki/The_Inbetweeners
Peep Show,TV Series,,https://en.wikipedia.org/wiki/Peep_Show_(British_TV_series)
Impractical Jokers,TV Series,,https://en.wikipedia.org/wiki/Impractical_Jokers
The Eric Andre Show,TV Series,,https://en.wikipedia.org/wiki/The_Eric_Andre_Show
2 Broke Girls,TV Series,,https://en.wikipedia.org/wiki/2_Broke_Girls
Saturday Night Live,TV Series,,https://en.wikipedia.org/wiki/Saturday_Night_Live
Fonejacker,TV Series,,https://en.wikipedia.org/wiki/Fonejacker
The Simpsons,TV Series,Matt Groening,https://en.wikipedia.org/wiki/The_Simpsons
Curb Your Enthusiasm,TV Series,Larry David,https://en.wikipedia.org/wiki/Curb_Your_Enthusiasm
Da Ali G Show,TV Series,Sacha Baron Cohen,https://en.wikipedia.org/wiki/Da_Ali_G_Show
The Ricky Gervais Show,TV Series,Ricky Gervais,https://en.wikipedia.org/wiki/The_Ricky_Gervais_Show
Tom and Jerry Shorts,TV Series,Hanna-Barbera,https://en.wikipedia.org/wiki/Tom_and_Jerry_filmography
Community,TV Series,,https://en.wikipedia.org/wiki/Community_(TV_series)
Mind Your Language,TV Series,,https://en.wikipedia.org/wiki/Mind_Your_Language
Little Britain,TV Series,,https://en.wikipedia.org/wiki/Little_Britain_(TV_series)
Rick and Morty,TV Series,,https://en.wikipedia.org/wiki/Rick_and_Morty
Chappelle's Show,TV Series,Dave Chappelle,https://en.wikipedia.org/wiki/Chappelle%27s_Show
Blackadder,TV Series,,https://en.wikipedia.org/wiki/Blackadder
Fawlty Towers,TV Series,,https://en.wikipedia.org/wiki/Fawlty_Towers
Only Fools and Horses,TV Series,,https://en.wikipedia.org/wiki/Only_Fools_and_Horses
Monty Python's Flying Circus,TV Series,Monty Python,https://en.wikipedia.org/wiki/Monty_Python%27s_Flying_Circus
Goodness Gracious Me,TV Series,,https://en.wikipedia.org/wiki/Goodness_Gracious_Me_(TV_series)
The Three Stooges Shorts,TV Series,,https://en.wikipedia.org/wiki/The_Three_Stooges_filmography
Fresh Off the Boat,TV Series,,https://en.wikipedia.org/wiki/Fresh_Off_the_Boat
Black-ish,TV Series,,https://en.wikipedia.org/wiki/Black-ish
Takeshi's Castle,TV Series,,https://en.wikipedia.org/wiki/Takeshi%27s_Castle
Modern Family,TV Series,,https://en.wikipedia.org/wiki/Modern_Family
The Goldbergs,TV Series,,https://en.wikipedia.org/wiki/The_Goldbergs_(2013_TV_series)
Code Geass: Lelouch of the Rebellion,TV Series,,https://en.wikipedia.org/wiki/Code_Geass
Monster,TV Series,,https://en.wikipedia.org/wiki/List_of_Monster_episodes
Dragon Ball,TV Series,Akira Toriyama,https://en.wikipedia.org/wiki/Dragon_Ball_(TV_series)
Dragon Ball Z Kai,TV Series,Akira Toriyama,https://en.wikipedia.org/wiki/List_of_Dragon_Ball_Z_Kai_episodes
Dragon Ball GT,TV Series,Akira Toriyama,https://en.wikipedia.org/wiki/Dragon_Ball_GT
Dragon Ball Super,TV Series,Akira Toriyama,https://en.wikipedia.org/wiki/Dragon_Ball_Super
Yu-Gi-Oh!,TV Series,Yu-Gi-Oh!,https://en.wikipedia.org/wiki/Yu-Gi-Oh!
Yu-Gi-Oh!,TV Series,Yu-Gi-Oh!,https://en.wikipedia.org/wiki/Yu-Gi-Oh!_Duel_Monsters
Yu-Gi-Oh! GX,TV Series,Yu-Gi-Oh!,https://en.wikipedia.org/wiki/Yu-Gi-Oh!_GX
Yu-Gi-Oh! 5D's,TV Series,Yu-Gi-Oh!,https://en.wikipedia.org/wiki/Yu-Gi-Oh!_5D%27s
Pokémon,TV Series,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_(TV_series)
The Promised Neverland,TV Series,,https://en.wikipedia.org/wiki/List_of_The_Promised_Neverland_episodes
Death Note,TV Series,,https://en.wikipedia.org/wiki/List_of_Death_Note_episodes
Fullmetal Alchemist: Brotherhood,TV Series,,https://en.wikipedia.org/wiki/Fullmetal_Alchemist:_Brotherhood
One Piece,TV Series,Eiichiro Oda,https://en.wikipedia.org/wiki/One_Piece_(1999_TV_series)
Naruto,TV Series,,https://en.wikipedia.org/wiki/Naruto_(TV_series)
Cowboy Bebop,TV Series,,https://en.wikipedia.org/wiki/Cowboy_Bebop
